Unicode,Glyph Name,Character
e0ea,chart-tree-map,
e0eb,chart-waterfall,
e0ec,cherries,
e0ed,circle-0,
e0ee,circle-1,
e0ef,circle-2,
e0f0,circle-3,
e0f1,circle-4,
e0f2,circle-5,
e0f3,circle-6,
e0f4,circle-7,
e0f5,circle-8,
e0f6,circle-9,
e0f7,circle-a,
e0f8,circle-ampersand,
e0f9,circle-arrow-down-left,
e0fa,circle-arrow-down-right,
e0fb,circle-arrow-up-left,
e0fc,circle-arrow-up-right,
e0fd,circle-b,
e0fe,circle-bolt,
e0ff,circle-book-open,
e100,circle-bookmark,
e101,circle-c,
e102,circle-calendar,
e103,circle-camera,
e104,circle-d,
e105,circle-dashed,
e106,circle-divide,
e107,circle-down-left,
e108,circle-down-right,
e109,circle-e,
e10a,circle-ellipsis,
e10b,circle-ellipsis-vertical,
e10c,circle-envelope,
e10d,circle-exclamation-check,
e10e,circle-f,
e10f,circle-g,
e110,circle-half,
e111,circle-i,
e112,circle-j,
e113,circle-k,
e114,circle-l,
e115,circle-m,
e116,circle-microphone,
e117,circle-microphone-lines,
e118,circle-n,
e119,circle-o,
e11a,circle-p,
e11b,circle-phone,
e11c,circle-phone-flip,
e11d,circle-phone-hangup,
e11e,circle-q,
e11f,circle-quarter,
e120,circle-r,
e121,circle-s,
e122,circle-small,
e123,circle-star,
e124,circle-t,
e125,circle-three-quarters,
e126,circle-trash,
e127,circle-u,
e128,circle-up-left,
e129,circle-up-right,
e12a,circle-v,
e12b,circle-video,
e12c,circle-w,
e12d,circle-waveform-lines,
e12e,circle-x,
e12f,circle-y,
e130,circle-z,
e131,clapperboard,
e132,clapperboard-play,
e133,clipboard-medical,
e134,clock-desk,
e135,closed-captioning-slash,
e136,clothes-hanger,
e137,cloud-slash,
e138,cloud-word,
e139,clover,
e13a,code-compare,
e13b,code-fork,
e13c,code-pull-request,
e13d,code-simple,
e13e,coffee-bean,
e13f,coffee-beans,
e140,colon-sign,
e142,command,
e143,comment-arrow-down,
e144,comment-arrow-up,
e145,comment-arrow-up-right,
e146,comment-captions,
e147,comment-code,
e148,comment-image,
e149,comment-middle,
e14a,comment-middle-top,
e14b,comment-question,
e14c,comment-quote,
e14d,comment-text,
e14e,comments-question,
e14f,comments-question-check,
e150,conveyor-belt-empty,
e151,crate-empty,
e152,cruzeiro-sign,
e154,delete-right,
e155,desktop-arrow-down,
e156,diagram-lean-canvas,
e157,diagram-nested,
e158,diagram-sankey,
e15a,diagram-venn,
e15b,dial,
e15c,dial-high,
e15d,dial-low,
e15e,dial-max,
e15f,dial-med,
e160,dial-med-low,
e161,dial-min,
e162,dial-off,
e163,display,
e164,display-arrow-down,
e165,display-code,
e166,display-medical,
e168,dolphin,
e169,dong-sign,
e16a,down-left,
e16b,down-right,
e16c,eggplant,
e16d,elevator,
e16e,engine,
e16f,envelope-dot,
e170,envelopes,
e171,escalator,
e172,eye-dropper-full,
e173,eye-dropper-half,
e174,ferris-wheel,
e175,file-binary,
e176,file-heart,
e177,file-plus-minus,
e178,files,
e179,film-slash,
e17a,films,
e17b,filter-circle-xmark,
e17c,filter-list,
e17d,filter-slash,
e17e,filters,
e17f,fire-hydrant,
e180,floppy-disk-circle-arrow-right,
e181,floppy-disk-circle-xmark,
e182,floppy-disk-pen,
e183,floppy-disks,
e184,florin-sign,
e185,folder-closed,
e186,folder-bookmark,
e187,folder-gear,
e188,folder-grid,
e189,folder-heart,
e18a,folder-image,
e18b,folder-magnifying-glass,
e18c,folder-medical,
e18d,folder-music,
e18e,folder-user,
e18f,franc-sign,
e190,gif,
e191,glass-empty,
e192,glass-half,
e193,grate,
e194,grate-droplet,
e195,grid,
e196,grid-2,
e197,grid-2-plus,
e198,grid-4,
e199,grid-5,
e19a,guarani-sign,
e19b,gun,
e19c,gun-slash,
e19d,gun-squirt,
e19e,hand-back-point-down,
e19f,hand-back-point-left,
e1a0,hand-back-point-ribbon,
e1a1,hand-back-point-right,
e1a2,hand-back-point-up,
e1a3,hand-fingers-crossed,
e1a4,hand-holding-skull,
e1a5,hand-love,
e1a6,hand-point-ribbon,
e1a7,hand-wave,
e1a8,hands-clapping,
e1a9,hand-horns,
e1aa,head-side-heart,
e1ab,heart-half,
e1ac,heart-half-stroke,
e1ad,hexagon-divide,
e1ae,high-definition,
e1af,highlighter-line,
e1b0,house-user,
e1b1,house-building,
e1b2,house-chimney-heart,
e1b3,house-tree,
e1b4,house-turret,
e1b5,image-landscape,
e1b6,image-polaroid-user,
e1b7,image-slash,
e1b8,image-user,
e1b9,images-user,
e1ba,inbox-full,
e1bb,inboxes,
e1bc,indian-rupee-sign,
e1bd,input-numeric,
e1be,input-pipe,
e1bf,input-text,
e1c0,keyboard-brightness,
e1c1,keyboard-brightness-low,
e1c2,keyboard-down,
e1c3,keyboard-left,
e1c4,kip-sign,
e1c5,lamp-street,
e1c6,laptop-arrow-down,
e1c7,laptop-slash,
e1c8,lari-sign,
e1c9,lasso-sparkles,
e1ca,lightbulb-exclamation-on,
e1cb,link-horizontal,
e1cc,link-horizontal-slash,
e1cd,link-simple,
e1ce,link-simple-slash,
e1cf,list-dropdown,
e1d0,list-radio,
e1d1,list-timeline,
e1d2,list-tree,
e1d3,litecoin-sign,
e1d4,loader,
e1d5,manat-sign,
e1d6,manhole,
e1d7,mask-face,
e1d8,memo,
e1d9,memo-circle-check,
e1da,memo-pad,
e1db,message-arrow-down,
e1dc,message-arrow-up,
e1dd,message-arrow-up-right,
e1de,message-captions,
