Unicode,Glyph Name,Character
f38a,credit-card-front,
f390,desktop,
f39b,ellipsis-stroke,
f39c,ellipsis-stroke-vertical,
f3a0,film-simple,
f3a5,gem,
f3b3,industry-windows,
f3be,turn-down,
f3bf,turn-up,
f3c1,lock-open,
f3c2,lock-keyhole-open,
f3c5,location-dot,
f3c9,microphone-lines,
f3cd,mobile-screen-button,
f3ce,mobile,
f3cf,mobile-screen,
f3d1,money-bill-1,
f3dd,phone-slash,
f3de,plane-engines,
f3e0,image-portrait,
f3e5,reply,
f3ed,shield-halved,
f3f0,square-sliders,
f3f1,sliders-up,
f3f2,square-sliders-vertical,
f3f4,spinner-third,
f3fa,tablet-screen-button,
f3fb,tablet,
f3fc,tablet-screen,
f3fd,gauge-high,
f3ff,ticket-simple,
f400,tree-deciduous,
f401,tv-retro,
f406,user-large,
f40e,window,
f40f,window-flip,
f410,rectangle-xmark,
f422,down-left-and-up-right-to-center,
f424,up-right-and-down-left-from-center,
f425,font-awesome,
f432,baseball-bat-ball,
f433,baseball,
f434,basketball,
f435,basketball-hoop,
f436,bowling-ball,
f437,bowling-pins,
f438,boxing-glove,
f439,chess,
f43a,chess-bishop,
f43b,chess-bishop-piece,
f43c,chess-board,
f43d,chess-clock,
f43e,chess-clock-flip,
f43f,chess-king,
f440,chess-king-piece,
f441,chess-knight,
f442,chess-knight-piece,
f443,chess-pawn,
f444,chess-pawn-piece,
f445,chess-queen,
f446,chess-queen-piece,
f447,chess-rook,
f448,chess-rook-piece,
f449,cricket-bat-ball,
f44a,curling-stone,
f44b,dumbbell,
f44c,field-hockey-stick-ball,
f44e,football,
f44f,football-helmet,
f450,golf-ball-tee,
f451,golf-club,
f453,hockey-puck,
f454,hockey-sticks,
f455,luchador-mask,
f456,flag-pennant,
f458,broom-ball,
f45a,racquet,
f45b,shuttlecock,
f45c,square-full,
f45d,table-tennis-paddle-ball,
f45e,tennis-ball,
f45f,volleyball,
f460,whistle,
f461,hand-dots,
f462,bandage,
f463,rectangle-barcode,
f464,barcode-read,
f465,barcode-scan,
f466,box,
f467,box-check,
f468,boxes-stacked,
f469,briefcase-medical,
f46a,fire-flame-simple,
f46b,capsules,
f46c,clipboard-check,
f46d,clipboard-list,
f46e,conveyor-belt,
f46f,conveyor-belt-boxes,
f470,person-dots-from-line,
f471,dna,
f472,dolly,
f473,dolly-empty,
f474,cart-flatbed,
f475,cart-flatbed-boxes,
f476,cart-flatbed-empty,
f477,file-medical,
f478,file-waveform,
f479,kit-medical,
f47a,forklift,
f47b,hand-holding-box,
f47c,hands-holding-diamond,
f47d,hospital,
f47e,circle-h,
f47f,id-card-clip,
f480,shelves,
f481,notes-medical,
f482,pallet,
f483,pallet-boxes,
f484,pills,
f485,prescription-bottle,
f486,prescription-bottle-medical,
f487,bed-pulse,
f488,scanner-gun,
f489,scanner-keyboard,
f48a,scanner-touchscreen,
f48b,truck-fast,
f48c,truck-clock,
f48d,smoking,
f48e,syringe,
f48f,tablet-rugged,
f490,tablets,
f491,thermometer,
f492,vial,
f493,vials,
f494,warehouse,
f495,warehouse-full,
f496,weight-scale,
f497,x-ray,
f498,blanket,
f499,book-heart,
f49a,box-taped,
f49b,square-fragile,
f49c,box-open-full,
f49d,box-heart,
f49e,box-open,
f49f,square-this-way-up,
f4a0,box-dollar,
f4a1,boxes-stacked,
f4a2,message-check,
f4a3,message-dots,
f4a4,message-pen,
f4a5,message-exclamation,
f4a6,message-lines,
f4a7,message-minus,
f4a8,message-plus,
f4a9,message-slash,
f4aa,message-smile,
f4ab,message-xmark,
f4ac,comment-check,
f4ad,comment-dots,
f4ae,comment-pen,
f4af,comment-exclamation,
f4b0,comment-lines,
f4b1,comment-minus,
f4b2,comment-plus,
f4b3,comment-slash,
f4b4,comment-smile,
f4b5,comment-xmark,
f4b6,messages,
f4b7,container-storage,
f4b8,couch,
f4b9,circle-dollar-to-slot,
f4ba,dove,
f4bb,wine-glass-crack,
f4bc,hand-heart,
f4bd,hand-holding,
f4be,hand-holding-heart,
f4bf,hand-holding-seedling,
f4c0,hand-holding-dollar,
f4c1,hand-holding-droplet,
f4c2,hands-holding,
f4c3,hands-holding-heart,
f4c4,handshake-angle,
f4c5,hands-holding-dollar,
f4c6,handshake-simple,
f4c7,circle-heart,
f4c8,square-heart,
f4c9,house-heart,
f4ca,lamp,
f4cb,leaf-heart,
f4cc,loveseat,
f4cd,parachute-box,
f4ce,people-carry-box,
f4cf,person-carry-box,
f4d0,person-dolly,
f4d1,person-dolly-empty,
f4d2,phone-plus,
f4d3,piggy-bank,
f4d4,ramp-loading,
f4d6,ribbon,
f4d7,route,
f4d8,seedling,
f4d9,sign-hanging,
f4da,face-smile-wink,
f4db,tape,
f4dc,truck-container,
f4dd,truck-ramp-couch,
f4de,truck-ramp-box,
f4df,truck-moving,
f4e0,truck-ramp,
f4e1,video-plus,
f4e2,video-slash,
f4e3,wine-glass,
f4e6,font-awesome,
f4fa,user-large-slash,
f4fb,user-astronaut,
f4fc,user-check,
f4fd,user-clock,
f4fe,user-gear,
f4ff,user-pen,
f500,user-group,
f501,user-graduate,
f502,user-lock,
f503,user-minus,
f504,user-ninja,
f505,user-shield,
f506,user-slash,
f507,user-tag,
f508,user-tie,
f509,users-gear,
f515,scale-unbalanced,
f516,scale-unbalanced-flip,
f517,blender,
f518,book-open,
f519,tower-broadcast,
f51a,broom,
f51b,chalkboard,
f51c,chalkboard-user,
f51d,church,
f51e,coins,
f51f,compact-disc,
f520,crow,
f521,crown,
f522,dice,
f523,dice-five,
f524,dice-four,
f525,dice-one,
f526,dice-six,
f527,dice-three,
f528,dice-two,
f529,divide,
f52a,door-closed,
f52b,door-open,
f52c,equals,
f52d,feather,
f52e,frog,
f52f,gas-pump,
f530,glasses,
f531,greater-than,
f532,greater-than-equal,
f533,helicopter,
f534,infinity,
f535,kiwi-bird,
f536,less-than,
f537,less-than-equal,
f538,memory,
f539,microphone-lines-slash,
f53a,money-bill-wave,
f53b,money-bill-1-wave,
f53c,money-check,
f53d,money-check-dollar,
f53e,not-equal,
f53f,palette,
f540,square-parking,
f541,percent,
f542,diagram-project,
f543,receipt,
f544,robot,
f545,ruler,
f546,ruler-combined,
f547,ruler-horizontal,
f548,ruler-vertical,
f549,school,
f54a,screwdriver,
f54b,shoe-prints,
f54c,skull,
f54d,ban-smoking,
f54e,store,
f54f,shop,
f550,bars-staggered,
f551,stroopwafel,
f552,toolbox,
f553,shirt,
f554,person-walking,
f555,wallet,
f556,face-angry,
f557,archway,
f558,book-atlas,
f559,award,
f55a,delete-left,
f55b,bezier-curve,
f55c,bong,
f55d,brush,
f55e,bus-simple,
f55f,cannabis,
f560,check-double,
f561,martini-glass-citrus,
f562,bell-concierge,
f563,cookie,
f564,cookie-bite,
f565,crop-simple,
f566,tachograph-digital,
f567,face-dizzy,
f568,compass-drafting,
f569,drum,
f56a,drum-steelpan,
f56b,feather-pointed,
f56c,file-contract,
f56d,file-arrow-down,
f56e,file-export,
f56f,file-import,
f570,file-invoice,
f571,file-invoice-dollar,
f572,file-prescription,
f573,file-signature,
f574,file-arrow-up,
f575,fill,
f576,fill-drip,
f577,fingerprint,
f578,fish,
f579,face-flushed,
f57a,face-frown-open,
f57b,martini-glass,
f57c,earth-africa,
f57d,earth-americas,
f57e,earth-asia,
f57f,face-grimace,
f580,face-grin,
f581,face-grin-wide,
f582,face-grin-beam,
f583,face-grin-beam-sweat,
f584,face-grin-hearts,
f585,face-grin-squint,
f586,face-grin-squint-tears,
f587,face-grin-stars,
f588,face-grin-tears,
f589,face-grin-tongue,
f58a,face-grin-tongue-squint,
f58b,face-grin-tongue-wink,
f58c,face-grin-wink,
f58d,grip,
f58e,grip-vertical,
f58f,headphones-simple,
f590,headset,
f591,highlighter,
f593,hot-tub-person,
f594,hotel,
f595,joint,
f596,face-kiss,
f597,face-kiss-beam,
f598,face-kiss-wink-heart,
f599,face-laugh,
f59a,face-laugh-beam,
f59b,face-laugh-squint,
f59c,face-laugh-wink,
f59d,cart-flatbed-suitcase,
f59f,map-location,
f5a0,map-location-dot,
f5a1,marker,
f5a2,medal,
f5a4,face-meh-blank,
f5a5,face-rolling-eyes,
f5a6,monument,
f5a7,mortar-pestle,
f5a9,paintbrush-fine,
f5aa,paint-roller,
f5ab,passport,
f5ac,pen-fancy,
f5ad,pen-nib,
f5ae,pen-ruler,
f5af,plane-arrival,
f5b0,plane-departure,
f5b1,prescription,
f5b3,face-sad-cry,
f5b4,face-sad-tear,
f5b6,van-shuttle,
f5b7,signature,
f5b8,face-smile-beam,
f5b9,face-smile-plus,
f5ba,solar-panel,
f5bb,spa,
f5bc,splotch,
f5bd,spray-can,
f5bf,stamp,
f5c0,star-half-stroke,
f5c1,suitcase-rolling,
f5c2,face-surprise,
f5c3,swatchbook,
f5c4,person-swimming,
f5c5,water-ladder,
f5c7,droplet-slash,
f5c8,face-tired,
f5c9,tooth,
f5ca,umbrella-beach,
f5cb,vector-square,
f5cd,weight-hanging,
f5ce,wine-glass-empty,
f5d0,spray-can-sparkles,
f5d1,apple-whole,
f5d2,atom,
f5d3,atom-simple,
f5d4,backpack,
f5d5,bell-school,
f5d6,bell-school-slash,
f5d7,bone,
f5d8,bone-break,
f5d9,book-blank,
f5da,book-open-reader,
f5db,books,
f5dc,brain,
f5dd,bus-school,
f5de,car-rear,
f5df,car-battery,
f5e0,car-bump,
f5e1,car-burst,
f5e2,car-garage,
f5e3,car-wrench,
f5e4,car-side,
f5e5,car-tilt,
f5e6,car-wash,
f5e7,charging-station,
f5e8,clipboard-prescription,
f5e9,compass-slash,
f5ea,diploma,
f5eb,diamond-turn-right,
f5ec,do-not-enter,
f5ed,draw-circle,
f5ee,draw-polygon,
f5ef,draw-square,
f5f0,ear,
f5f2,engine-warning,
f5f3,file-certificate,
f5f4,gas-pump-slash,
f5f5,glasses-round,
f5f6,globe-stand,
f5f8,wave-pulse,
f5f9,inhaler,
f5fb,kidneys,
f5fc,laptop-code,
f5fd,layer-group,
f5fe,layer-minus,
f5ff,layer-plus,
f600,lips,
f601,location-crosshairs,
f602,circle-location-arrow,
f603,location-crosshairs-slash,
f604,lungs,
f605,location-dot-slash,
f606,location-check,
f607,location-pen,
f608,location-exclamation,
f609,location-minus,
f60a,location-plus,
f60b,location-question,
f60c,location-pin-slash,
f60d,location-smile,
f60e,location-xmark,
f610,microscope,
f611,monitor-waveform,
f613,oil-can,
f614,oil-temperature,
f615,circle-parking,
f616,ban-parking,
f617,square-parking-slash,
f618,pen-paintbrush,
f619,poop,
f61a,route-highway,
f61b,route-interstate,
f61c,ruler-triangle,
f61d,scalpel,
f61e,scalpel-line-dashed,
f61f,shapes,
f620,skeleton,
f621,star-of-life,
f622,steering-wheel,
f623,stomach,
f624,gauge,
f625,gauge-high,
f626,gauge-max,
f627,gauge-low,
f628,gauge-min,
f629,gauge-simple,
f62a,gauge-simple-high,
f62b,gauge-simple-max,
f62c,gauge-simple-low,
f62d,gauge-simple-min,
f62e,teeth,
f62f,teeth-open,
f630,masks-theater,
f631,tire,
f632,tire-flat,
f633,tire-pressure-warning,
f634,tire-rugged,
f635,toothbrush,
f636,traffic-cone,
f637,traffic-light,
f638,traffic-light-go,
f639,traffic-light-slow,
f63a,traffic-light-stop,
f63b,truck-monster,
f63c,truck-pickup,
f63d,screen-users,
f63e,watch-fitness,
f640,abacus,
f641,rectangle-ad,
f643,chart-mixed,
f644,ankh,
f645,badge-dollar,
f646,badge-percent,
f647,book-bible,
f648,bullseye-arrow,
f649,bullseye-pointer,
f64a,business-time,
f64b,cabinet-filing,
f64c,calculator-simple,
f64d,chart-line-down,
f64e,chart-pie-simple,
f64f,city,
f650,message-dollar,
f651,comment-dollar,
f652,messages-dollar,
f653,comments-dollar,
f654,cross,
f655,dharmachakra,
f656,empty-set,
f657,envelope-open-dollar,
f658,envelope-open-text,
f659,file-chart-column,
f65a,file-chart-pie,
f65b,file-spreadsheet,
f65c,file-user,
f65d,folder-minus,
f65e,folder-plus,
f65f,folder-xmark,
f660,folders,
f661,function,
f662,filter-circle-dollar,
f663,gift-card,
f664,gopuram,
f665,hamsa,
f666,bahai,
f667,integral,
f668,intersection,
f669,jedi,
f66a,book-journal-whills,
f66b,kaaba,
f66c,keynote,
f66d,khanda,
f66e,lambda,
f66f,landmark,
f670,lightbulb-dollar,
f671,lightbulb-exclamation,
f672,lightbulb-on,
f673,lightbulb-slash,
f674,envelopes-bulk,
f675,megaphone,
f676,menorah,
f677,brain-arrow-curved-right,
f678,mosque,
f679,om,
f67a,omega,
f67b,spaghetti-monster-flying,
f67c,peace,
f67d,phone-office,
f67e,pi,
f67f,place-of-worship,
f680,podium,
f681,square-poll-vertical,
f682,square-poll-horizontal,
f683,person-praying,
f684,hands-praying,
f685,presentation-screen,
f686,print-slash,
f687,book-quran,
f688,magnifying-glass-dollar,
f689,magnifying-glass-location,
f68a,shredder,
f68b,sigma,
f68c,signal-weak,
f68d,signal-fair,
f68e,signal-good,
f68f,signal-strong,
f690,signal-bars,
f691,signal-bars-weak,
f692,signal-bars-fair,
f693,signal-bars-good,
f694,signal-bars-slash,
f695,signal-slash,
f696,socks,
f697,square-root,
f698,square-root-variable,
f699,star-and-crescent,
f69a,star-of-david,
f69b,synagogue,
f69c,tally,
f69e,theta,
f69f,tilde,
f6a0,scroll-torah,
f6a1,torii-gate,
f6a2,union,
f6a3,chart-user,
f6a4,user-crown,
f6a5,user-group-crown,
f6a6,value-absolute,
f6a7,vihara,
f6a8,volume,
f6a9,volume-xmark,
f6aa,wifi-weak,
f6ab,wifi-fair,
f6ac,wifi-slash,
f6ad,yin-yang,
f6ae,acorn,
f6b0,alicorn,
f6b1,crate-apple,
f6b2,axe,
f6b3,axe-battle,
f6b4,badger-honey,
f6b5,bat,
f6b6,blender-phone,
f6b7,book-skull,
f6b8,book-sparkles,
f6b9,bow-arrow,
f6ba,campfire,
f6bb,campground,
f6bc,candle-holder,
f6bd,candy-corn,
f6be,cat,
f6bf,cauldron,
f6c0,chair,
f6c1,chair-office,
f6c2,claw-marks,
f6c3,cloud-moon,
f6c4,cloud-sun,
f6c5,cup-togo,
f6c6,coffin,
f6c7,corn,
f6c8,cow,
f6cb,dagger,
f6cd,dice-d10,
f6ce,dice-d12,
f6cf,dice-d20,
f6d0,dice-d4,
f6d1,dice-d6,
f6d2,dice-d8,
f6d3,dog,
f6d4,dog-leashed,
f6d5,dragon,
f6d6,drumstick,
f6d7,drumstick-bite,
f6d8,duck,
f6d9,dungeon,
f6da,elephant,
f6db,eye-evil,
f6dd,file-csv,
f6de,hand-fist,
f6df,fire-flame,
f6e0,flask-round-poison,
f6e1,flask-round-potion,
f6e2,ghost,
f6e3,hammer,
f6e4,hammer-war,
f6e5,hand-holding-magic,
f6e6,hanukiah,
f6e7,hat-witch,
f6e8,hat-wizard,
f6e9,head-side,
f6ea,head-side-goggles,
f6eb,helmet-battle,
f6ec,person-hiking,
f6ed,hippo,
f6ee,hockey-mask,
f6ef,hood-cloak,
f6f0,horse,
f6f1,house-chimney-crack,
f6f2,hryvnia-sign,
f6f3,key-skeleton,
f6f4,kite,
f6f5,knife-kitchen,
f6f6,leaf-maple,
f6f7,leaf-oak,
f6f8,mace,
f6f9,mandolin,
f6fa,mask,
f6fb,monkey,
f6fc,mountain,
f6fd,mountains,
f6fe,narwhal,
f6ff,network-wired,
f700,otter,
f701,paw-simple,
f702,paw-claws,
f703,pegasus,
f705,pie,
f706,pig,
f707,pumpkin,
f708,rabbit,
f709,rabbit-running,
f70a,ram,
f70b,ring,
f70c,person-running,
f70d,scarecrow,
f70e,scroll,
f70f,scroll-old,
f710,scythe,
f711,sheep,
f712,shield-cross,
f713,shovel,
f714,skull-crossbones,
f715,slash,
f716,snake,
f717,spider,
f718,spider-black-widow,
f719,spider-web,
f71a,squirrel,
f71b,staff,
f71c,sword,
f71d,swords,
f71e,toilet-paper,
f71f,toilet-paper-blank,
f720,tombstone,
f721,tombstone-blank,
f722,tractor,
f723,treasure-chest,
f724,trees,
f725,turkey,
f726,turtle,
f727,unicorn,
f728,user-injured,
f729,vr-cardboard,
f72a,wand,
f72b,wand-sparkles,
f72c,whale,
f72d,wheat,
f72e,wind,
f72f,wine-bottle,
f732,ballot,
f733,ballot-check,
f734,booth-curtain,
f735,box-ballot,
f736,calendar-star,
f737,clipboard-list-check,
f738,cloud-drizzle,
f739,cloud-hail,
f73a,cloud-hail-mixed,
f73b,cloud-meatball,
f73c,cloud-moon-rain,
f73d,cloud-rain,
f73e,cloud-rainbow,
f73f,cloud-showers,
f740,cloud-showers-heavy,
f741,cloud-sleet,
f742,cloud-snow,
f743,cloud-sun-rain,
f744,clouds,
f745,clouds-moon,
f746,clouds-sun,
f747,democrat,
f748,droplet-degree,
f749,eclipse,
f74a,moon-over-sun,
f74b,fire-smoke,
f74c,flag-swallowtail,
f74d,flag-usa,
f74e,cloud-fog,
f74f,house-water,
f750,droplet-percent,
f751,hurricane,
f752,landmark-dome,
f753,meteor,
f754,moon-cloud,
f755,moon-stars,
f756,person-booth,
f757,person-sign,
f758,podium-star,
f759,poll-people,
f75a,poo-storm,
f75b,rainbow,
f75c,raindrops,
f75e,republican,
f75f,smog,
f760,smoke,
f761,snow-blowing,
f762,stars,
f763,sun-cloud,
f764,sun-dust,
f765,sun-haze,
f766,sunrise,
f767,sunset,
f768,temperature-snow,
f769,temperature-high,
f76a,temperature-sun,
f76b,temperature-low,
f76c,cloud-bolt,
f76d,cloud-bolt-moon,
f76e,cloud-bolt-sun,
f76f,tornado,
f770,volcano,
f771,xmark-to-slot,
f772,check-to-slot,
f773,water,
f774,water-arrow-down,
f775,water-arrow-up,
f776,wind-warning,
f777,windsock,
f779,angel,
f77c,baby,
f77d,baby-carriage,
f77e,ball-pile,
f77f,bells,
f780,biohazard,
f781,blog,
f782,boot,
f783,calendar-day,
f784,calendar-week,
f786,candy-cane,
f787,carrot,
f788,cash-register,
f78a,chart-network,
f78b,chimney,
f78c,minimize,
f78e,deer,
f78f,deer-rudolph,
f792,dreidel,
f793,dumpster,
f794,dumpster-fire,
f795,ear-muffs,
f796,ethernet,
f79a,fireplace,
f79b,snowman-head,
f79c,gifts,
f79d,gingerbread-man,
f79e,champagne-glass,
f79f,champagne-glasses,
f7a0,whiskey-glass,
f7a1,whiskey-glass-ice,
f7a2,earth-europe,
f7a3,globe-snow,
f7a4,grip-lines,
f7a5,grip-lines-vertical,
f7a6,guitar,
f7a7,hat-santa,
f7a8,hat-winter,
f7a9,heart-crack,
f7aa,holly-berry,
f7ab,horse-head,
f7ac,ice-skate,
f7ad,icicles,
f7ae,igloo,
f7b2,lights-holiday,
f7b4,mistletoe,
f7b5,mitten,
f7b6,mug-hot,
f7b7,mug-marshmallows,
f7b8,ornament,
f7b9,radiation,
f7ba,circle-radiation,
f7bd,restroom,
f7be,rv,
f7bf,satellite,
f7c0,satellite-dish,
f7c1,scarf,
f7c2,sd-card,
f7c3,shovel-snow,
f7c4,sim-card,
f7c5,person-skating,
f7c7,person-ski-jumping,
f7c8,person-ski-lift,
f7c9,person-skiing,
f7ca,person-skiing-nordic,
f7cb,person-sledding,
f7cc,sleigh,
f7cd,comment-sms,
f7ce,person-snowboarding,
f7cf,snowflakes,
f7d0,snowman,
f7d1,person-snowmobiling,
f7d2,snowplow,
f7d4,star-christmas,
f7d5,stocking,
f7d7,tenge-sign,
f7d8,toilet,
f7d9,screwdriver-wrench,
f7da,cable-car,
f7db,tree-christmas,
f7dc,tree-decorated,
f7dd,tree-large,
f7de,truck-plow,
f7e2,wreath,
f7e4,fire-flame-curved,
f7e5,bacon,
f7e6,book-medical,
f7e7,book-user,
f7e8,books-medical,
f7e9,brackets-square,
f7ea,brackets-curly,
f7eb,bread-loaf,
f7ec,bread-slice,
f7ed,burrito,
f7ee,chart-scatter,
f7ef,cheese,
f7f0,cheese-swiss,
f7f1,burger-cheese,
f7f2,house-chimney-medical,
f7f3,clipboard-user,
f7f4,message-medical,
f7f5,comment-medical,
f7f6,croissant,
f7f7,crutch,
f7f8,crutches,
f7f9,ban-bug,
f7fa,disease,
f7fb,egg,
f7fc,egg-fried,
f7fd,files-medical,
f7fe,fish-cooked,
f7ff,flower,
f800,flower-daffodil,
f801,flower-tulip,
f802,folder-tree,
f803,french-fries,
f804,glass,
f805,burger,
f806,hand-middle-finger,
f807,helmet-safety,
f808,head-side-brain,
f809,head-side-medical,
f80a,house,
f80b,house-chimney,
f80c,house,
f80d,hospital-user,
f80e,hospitals,
f80f,hotdog,
f810,ice-cream,
f811,island-tropical,
f812,laptop-medical,
f813,mailbox,
f814,meat,
f815,pager,
f816,pepper-hot,
f817,pizza,
f818,pizza-slice,
f819,popcorn,
f81a,print-magnifying-glass,
f81b,rings-wedding,
f81c,sack,
f81d,sack-dollar,
f81e,salad,
f81f,sandwich,
f820,sausage,
f821,shish-kebab,
f822,sickle,
f823,bowl-hot,
f824,steak,
f825,stretcher,
f826,taco,
f827,book-tanakh,
f828,bars-progress,
f829,trash-arrow-up,
f82a,trash-can-arrow-up,
f82b,tree-palm,
f82c,user-helmet-safety,
f82d,user-headset,
f82e,user-doctor-message,
f82f,user-nurse,
f830,users-medical,
f831,walker,
f832,camera-web,
f833,camera-web-slash,
f83e,wave-square,
f843,alarm-exclamation,
f844,alarm-plus,
f845,alarm-snooze,
f846,align-slash,
f847,bags-shopping,
f848,bell-exclamation,
f849,bell-plus,
f84a,person-biking,
f84b,person-biking-mountain,
f84c,border-all,
f84d,border-bottom,
f84e,border-inner,
f84f,border-left,
f850,border-none,
f851,border-outer,
f852,border-right,
f853,border-top-left,
f854,border-bottom-right,
f855,border-top,
f856,bring-forward,
f857,bring-front,
f858,burger-soda,
f859,car-building,
f85a,car-bus,
f85b,cars,
f85c,coin,
f85d,triangle-person-digging,
f85e,person-digging,
f85f,drone,
f860,drone-front,
f861,dryer,
f862,dryer-heat,
f863,fan,
f864,farm,
f865,file-magnifying-glass,
f866,font-case,
f867,game-board,
f868,game-board-simple,
f869,glass-citrus,
f86a,h4,
f86b,hat-chef,
f86c,horizontal-rule,
f86d,icons,
f86e,symbols,
f86f,kerning,
f870,line-columns,
f871,line-height,
f872,money-check-pen,
f873,money-check-dollar-pen,
f874,mug,
f875,mug-tea,
f876,overline,
f877,file-dashed-line,
f878,paragraph-left,
f879,phone-flip,
f87a,laptop-mobile,
f87b,square-phone-flip,
f87c,photo-film,
f87d,text-slash,
f87e,send-back,
f87f,send-backward,
f880,snooze,
f881,arrow-down-z-a,
f882,arrow-up-z-a,
f883,arrow-down-arrow-up,
f884,arrow-down-short-wide,
f885,arrow-up-short-wide,
f886,arrow-down-9-1,
f887,arrow-up-9-1,
f888,arrow-down-triangle-square,
f889,arrow-down-square-triangle,
f88a,arrow-up-triangle-square,
f88b,arrow-up-square-triangle,
f88c,arrow-down-big-small,
f88d,arrow-down-small-big,
f88e,arrow-up-big-small,
f88f,arrow-up-small-big,
f890,sparkles,
f891,spell-check,
f892,sunglasses,
f893,text,
f894,text-size,
f895,trash-undo,
f896,trash-can-undo,
f897,voicemail,
f898,washing-machine,
f899,wave-sine,
f89a,wave-triangle,
f89b,wind-turbine,
f89c,border-center-h,
f89d,border-center-v,
f89f,album,
f8a0,album-collection,
f8a1,amp-guitar,
f8a2,badge-sheriff,
f8a3,banjo,
f8a4,cassette-betamax,
f8a5,boombox,
f8a7,cactus,
f8a8,camcorder,
f8a9,camera-movie,
f8aa,camera-polaroid,
f8ab,cassette-tape,
f8ac,camera-cctv,
f8ad,clarinet,
f8ae,cloud-music,
f8af,message-music,
f8b0,comment-music,
f8b1,computer-classic,
f8b2,computer-speaker,
f8b3,cowbell,
f8b4,cowbell-circle-plus,
f8b5,disc-drive,
f8b6,file-music,
f8b7,film-canister,
f8b8,flashlight,
f8b9,flute,
f8ba,flux-capacitor,
f8bb,game-console-handheld,
f8bc,gamepad-modern,
f8bd,gramophone,
f8be,guitar-electric,
f8bf,guitars,
f8c0,hat-cowboy,
f8c1,hat-cowboy-side,
f8c2,head-side-headphones,
f8c3,horse-saddle,
f8c4,image-polaroid,
f8c5,joystick,
f8c6,jug,
f8c7,kazoo,
f8c8,lasso,
f8c9,list-music,
f8cb,microphone-stand,
f8cc,computer-mouse,
f8cd,computer-mouse-scrollwheel,
f8ce,mp3-player,
f8cf,music-note,
f8d0,music-note-slash,
f8d1,music-slash,
f8d3,phone-rotary,
f8d4,piano,
f8d5,piano-keyboard,
f8d6,projector,
f8d7,radio,
f8d8,radio-tuner,
f8d9,record-vinyl,
f8da,router,
f8db,saxophone-fire,
f8dc,saxophone,
f8dd,signal-stream,
f8de,skull-cow,
f8df,speaker,
f8e0,speakers,
f8e2,triangle-instrument,
f8e3,trumpet,
f8e4,turntable,
f8e5,tv,
f8e6,tv-music,
f8e7,typewriter,
f8e9,usb-drive,
f8ea,user-cowboy,
f8eb,user-music,
f8ec,cassette-vhs,
f8ed,violin,
f8ee,wagon-covered,
f8ef,walkie-talkie,
f8f0,watch-calculator,
f8f1,waveform,
f8f2,waveform-lines,
f8f3,scanner-image,
f8f4,air-conditioner,
f8f5,alien,
f8f6,alien-8bit,
f8f7,bed-front,
f8f8,bed-bunk,
f8f9,bed-empty,
f8fa,bell-on,
f8fb,blinds,
f8fc,blinds-open,
f8fd,blinds-raised,
f8fe,camera-security,
f8ff,caravan,
1f17f,square-parking,🅿
1f305,sunrise,🌅
1f307,sunset,🌇
1f308,rainbow,🌈
1f30b,volcano,🌋
1f30d,earth-africa,🌍
1f30e,earth-americas,🌎
1f30f,earth-asia,🌏
1f310,globe,🌐
1f319,moon,🌙
1f320,star-shooting,🌠
1f321,temperature-half,🌡
1f324,sun-cloud,🌤
1f326,cloud-sun-rain,🌦
1f327,cloud-rain,🌧
1f328,cloud-snow,🌨
1f329,cloud-bolt,🌩
1f32a,tornado,🌪
1f32b,cloud-fog,🌫
1f32d,hotdog,🌭
1f32e,taco,🌮
1f32f,burrito,🌯
1f330,chestnut,🌰
1f331,seedling,🌱
1f332,tree,🌲
1f333,tree-deciduous,🌳
1f334,tree-palm,🌴
1f335,cactus,🌵
1f336,pepper-hot,🌶
1f337,flower-tulip,🌷
1f33c,flower,🌼
1f33d,corn,🌽
1f341,leaf-maple,🍁
1f344,mushroom,🍄
1f345,bowl-scoops,🍅
1f34b,lemon,🍋
1f34e,apple-whole,🍎
1f34f,apple-whole,🍏
1f354,burger-cheese,🍔
1f355,pizza,🍕
1f356,meat,🍖
1f357,drumstick,🍗
1f35e,bread-loaf,🍞
1f35f,french-fries,🍟
1f363,sushi,🍣
1f366,soft-serve,🍦
1f367,bowl-scoop,🍧
1f368,ice-cream,🍨
1f369,donut,🍩
1f36a,cookie,🍪
1f36b,candy-bar,🍫
1f36c,candy,🍬
1f36d,lollipop,🍭
1f36e,custard,🍮
1f36f,honey-pot,🍯
1f370,cake-slice,🍰
1f372,pot-food,🍲
1f373,pan-frying,🍳
1f374,utensils,🍴
1f377,wine-glass,🍷
1f378,martini-glass,🍸
1f37f,popcorn,🍿
1f381,gift,🎁
1f382,cake-candles,🎂
1f383,jack-o-lantern,🎃
1f384,tree-christmas,🎄
1f392,backpack,🎒
1f393,graduation-cap,🎓
1f397,ribbon,🎗
1f399,microphone-lines,🎙
1f39e,film,🎞
1f39f,ticket,🎟
1f3a4,microphone-stand,🎤
1f3a5,camera-movie,🎥
1f3a6,camera-movie,🎦
1f3a7,headphones,🎧
1f3a8,palette,🎨
1f3ad,masks-theater,🎭
1f3ae,gamepad-modern,🎮
1f3af,bullseye-arrow,🎯
1f3b2,dice,🎲
1f3b5,music,🎵
1f3b7,saxophone,🎷
1f3b8,guitar-electric,🎸
1f3b9,piano-keyboard,🎹
1f3ba,trumpet,🎺
